Job ID,Job Name,Submit,Start,End,Runtime / h,Scheduling Coefficient,Job Size / Nodes,Charged Usage / CUs,Raw Usage / CUs
1822170,u-ch427-n216-template-start-paper-x0-00.install_ancil.19880901T0000Z,2022-06-15 01:31:21,2022-06-15 01:31:23,2022-06-15 01:31:33,0:00:10,0.833,1,0.003,0.003
1822189,u-ch427-n216-start-paper-50.install_ancil.19880901T0000Z,2022-06-15 01:34:09,2022-06-15 01:34:13,2022-06-15 01:34:24,0:00:11,0.733,1,0.003,0.003
1822190,u-ch427-n96-template-start-paper-x0-00.install_ancil.19880901T0000Z,2022-06-15 01:35:33,2022-06-15 01:35:33,2022-06-15 01:35:43,0:00:10,1,1,0.003,0.003
1822192,u-ch427-n216-template-start-paper-x0-00.atmos_main.19880901T0000Z,2022-06-15 01:36:59,2022-06-15 03:31:15,2022-06-15 03:35:38,0:04:23,0.037,36,0,2.63
1822196,u-ch427-n96-template-start-paper-x0-00.atmos_main.19880901T0000Z,2022-06-15 01:41:05,2022-06-15 01:41:27,2022-06-15 01:43:09,0:01:42,0.823,11,0,0.312
1819640,u-ch427-n512-start-paper-30.atmos_main.19880901T0000Z,2022-06-14 15:21:29,2022-06-15 06:33:52,2022-06-15 08:07:22,1:33:30,0.093,915,0,1425.875
1821868,u-ch427-n512-start-paper-20.atmos_main.19880901T0000Z,2022-06-15 00:21:00,2022-06-15 04:47:41,2022-06-15 06:33:35,1:45:54,0.284,615,0,1085.475
1821903,u-ch427-n96-start-paper-100.atmos_main.19880901T0000Z,2022-06-15 00:31:16,2022-06-15 05:01:48,2022-06-15 06:02:03,1:00:15,0.182,403,0,404.679
1822194,u-ch427-n216-start-paper-50.atmos_main.19880901T0000Z,2022-06-15 01:39:49,2022-06-15 08:07:54,2022-06-15 08:32:36,0:24:42,0.06,708,0,291.46
1825716,u-ch427-n96-start-paper-100.ens_setup_all.19880901T0000Z,2022-06-15 14:29:12,2022-06-15 14:29:12,2022-06-15 14:36:54,0:07:42,1,1,0.128,0.128
1825717,u-ch427-n96-start-paper-100.install_cold.19880901T0000Z,2022-06-15 14:29:12,2022-06-15 14:29:19,2022-06-15 14:29:33,0:00:14,0.667,1,0.004,0.004
1825718,u-ch427-n96-start-paper-100.xml.19880901T0000Z,2022-06-15 14:29:12,2022-06-15 14:29:19,2022-06-15 14:29:35,0:00:16,0.696,1,0.004,0.004
1825719,u-ch427-n96-start-paper-100.fcm_make2_drivers.19880901T0000Z,2022-06-15 14:29:22,2022-06-15 14:29:24,2022-06-15 14:29:40,0:00:16,0.889,1,0.004,0.004
1825722,u-ch427-n96-start-paper-100.fcm_make2_um.19880901T0000Z,2022-06-15 14:29:36,2022-06-15 14:29:37,2022-06-15 14:38:26,0:08:49,0.998,1,0.147,0.147
1825830,u-ch427-n96-start-paper-100.install_ancil.19880901T0000Z,2022-06-15 14:34:22,2022-06-15 14:34:24,2022-06-15 14:34:34,0:00:10,0.833,1,0.003,0.003
1825850,u-ch427-n96-start-paper-100.atmos_main.19880901T0000Z,2022-06-15 14:39:44,2022-06-15 17:10:46,2022-06-15 17:32:47,0:22:01,0.127,403,0,147.879
1825866,u-ch427-n512-template-start-paper-x0-00.ens_setup_all.19880901T0000Z,2022-06-15 14:43:47,2022-06-15 14:44:40,2022-06-15 14:45:03,0:00:23,0.303,1,0.006,0.006
1825867,u-ch427-n512-template-start-paper-x0-00.install_cold.19880901T0000Z,2022-06-15 14:43:47,2022-06-15 14:43:50,2022-06-15 14:44:02,0:00:12,0.8,1,0.003,0.003
1825868,u-ch427-n512-template-start-paper-x0-00.xml.19880901T0000Z,2022-06-15 14:43:47,2022-06-15 14:44:40,2022-06-15 14:44:54,0:00:14,0.209,1,0.004,0.004
1825869,u-ch427-n512-template-start-paper-x0-00.fcm_make2_drivers.19880901T0000Z,2022-06-15 14:44:00,2022-06-15 14:44:40,2022-06-15 14:44:54,0:00:14,0.259,1,0.004,0.004
1825870,u-ch427-n512-template-start-paper-x0-00.fcm_make2_um.19880901T0000Z,2022-06-15 14:44:10,2022-06-15 14:44:40,2022-06-15 14:53:12,0:08:32,0.945,1,0.142,0.142
1825875,u-ch427-n96-start-paper-x0-00.ens_setup_all.19880901T0000Z,2022-06-15 14:46:51,2022-06-15 14:47:29,2022-06-15 14:47:54,0:00:25,0.397,1,0.007,0.007
1825876,u-ch427-n96-start-paper-x0-00.install_cold.19880901T0000Z,2022-06-15 14:46:51,2022-06-15 14:46:54,2022-06-15 14:47:06,0:00:12,0.8,1,0.003,0.003
1825877,u-ch427-n96-start-paper-x0-00.xml.19880901T0000Z,2022-06-15 14:46:51,2022-06-15 14:47:29,2022-06-15 14:47:44,0:00:15,0.283,1,0.004,0.004
1825881,u-ch427-n96-start-paper-x0-01.ens_setup_all.19880901T0000Z,2022-06-15 14:46:59,2022-06-15 14:47:29,2022-06-15 14:47:54,0:00:25,0.455,1,0.007,0.007
1825882,u-ch427-n96-start-paper-x0-01.install_cold.19880901T0000Z,2022-06-15 14:46:59,2022-06-15 14:47:01,2022-06-15 14:47:10,0:00:09,0.818,1,0.002,0.002
1825883,u-ch427-n96-start-paper-x0-01.xml.19880901T0000Z,2022-06-15 14:46:59,2022-06-15 14:47:29,2022-06-15 14:47:44,0:00:15,0.333,1,0.004,0.004
