SUITE,TIME,INITIAL,JOB_ID,JOB_PID,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,TOOK1,TOOK2,TOOK3
u-ch427-n1280-template,,,,,,,,,,,
u-ch427-n1280-template-32-32,,,,,,,,,,,
u-ch427-n1280-template-64-32,,,,,,,,,,,
u-ch427-n1280-template-64-64,,,,,,,,,,,
u-ch427-n1280-template-90-60,,,,,,,,,,,
u-ch427-n1280-template-96-32,,,,,,,,,,,
u-ch427-n1280-template-queue,,,,,,,,,,,
u-ch427-n512-false-ens13,5736.086,289.66,898422,259609,2021-12-16T11:35:29Z,2021-12-17T01:10:34Z,2021-12-17T02:49:04Z,SUCCEEDED,162.988,37.667,37.695
u-ch427-n512-false-ens14,5715.508,292.99,897509,75681,2021-12-16T01:12:09Z,2021-12-16T01:21:58Z,2021-12-16T03:00:33Z,SUCCEEDED,160.172,40.308,36.590
u-ch427-n512-false-ens15,5805.952,304.02,900851,87271,2021-12-17T01:28:02Z,2021-12-18T01:10:34Z,2021-12-18T02:50:41Z,SUCCEEDED,169.123,38.733,36.920
u-ch427-n512-false-ens16,5854.737,324.96,898431,134948,2021-12-16T11:35:40Z,2021-12-16T23:20:51Z,2021-12-17T01:01:33Z,SUCCEEDED,163.834,39.960,37.420
u-ch427-n512-false-ens17,5788.561,381.95,898433,217624,2021-12-16T11:35:47Z,2021-12-16T23:21:48Z,2021-12-17T01:02:30Z,SUCCEEDED,163.540,36.860,37.028
u-ch427-n512-false-ens18,5862.558,347.03,897514,132861,2021-12-16T01:12:09Z,2021-12-16T01:12:58Z,2021-12-16T02:55:01Z,SUCCEEDED,163.170,44.694,43.188
u-ch427-n512-false-ens2,5266.606,130.61,898426,111603,2021-12-16T11:35:36Z,2021-12-16T14:44:56Z,2021-12-16T16:13:31Z,SUCCEEDED,156.820,35.990,34.672
u-ch427-n512-false-ens3,5394.519,153.04,898421,187166,2021-12-16T11:35:28Z,2021-12-16T18:30:51Z,2021-12-16T20:01:57Z,SUCCEEDED,158.604,36.832,35.676
u-ch427-n512-false-ens4,5442.708,162.34,900852,176960,2021-12-17T01:28:50Z,2021-12-17T03:04:50Z,2021-12-17T04:36:45Z,SUCCEEDED,158.908,36.127,36.552
u-ch427-n512-false-ens5,5503.597,172.24,898425,7510,2021-12-16T11:35:36Z,2021-12-16T20:04:52Z,2021-12-16T21:38:17Z,SUCCEEDED,163.555,38.443,38.256
