SUITE,TimeStep SIZE,TimeStep 0,TimeStep TOTAL,TimeStep MEAN,TimeStep 6 MEAN,TimeStep 8 MEAN,TimeStep 12 MEAN,TimeStep 6 TOTAL,TimeStep 8 TOTAL,TimeStep 12 TOTAL,TimeStep TI,TimeStep 6 TI,TimeStep 8 TI,TimeStep 12 TI
u-ch427-n512-paper-10of-ens20,189,165.17,7352.28,38.9,47.31,42.83,56.94,1490.11,1011.75,896.73,,,,
u-ch427-n512-paper-10of-ens30,189,162.21,7419.62,39.26,51.23,44.26,65.59,1613.67,1045.68,1033.1,,,,
u-ch427-n512-start-paper-00,189,155.02,5963.12,31.55,30.51,31.09,29.2,961.06,734.55,459.89,,,,
u-ch427-n512-start-paper-01,189,168.71,6799.75,35.98,35.6,34.89,34.23,1121.31,824.23,539.07,,,,
u-ch427-n512-start-paper-02,189,163.17,6839.28,36.19,38.47,36.19,40.37,1211.67,855.0,635.88,,,,
u-ch427-n512-start-paper-03,189,162.17,6743.04,35.68,37.12,35.52,38.11,1169.33,839.05,600.16,,,,
u-ch427-n512-start-paper-04,189,164.67,6803.87,36.0,36.11,34.95,35.42,1137.49,825.58,557.93,,,,
u-ch427-n512-start-paper-05,189,159.71,7127.05,37.71,37.41,36.57,36.22,1178.42,863.97,570.43,,,,
u-ch427-n512-start-paper-06,189,166.58,7095.92,37.54,38.16,36.86,38.29,1201.91,870.88,603.15,,,,
u-ch427-n512-start-paper-07,189,161.34,7055.47,37.33,42.01,38.71,46.83,1323.18,914.56,737.5,,,,
u-ch427-n512-start-paper-08,189,159.12,6922.58,36.63,38.84,36.69,40.59,1223.35,866.7,639.35,,,,
u-ch427-n512-start-paper-09,189,161.94,7072.28,37.42,44.84,40.69,53.42,1412.47,961.37,841.38,,,,
u-ch427-n512-start-paper-10,189,162.48,7079.82,37.46,39.39,37.51,40.99,1240.69,886.12,645.61,,,,
u-ch427-n512-start-paper-11,189,160.84,7044.52,37.27,39.07,37.03,40.5,1230.56,874.74,637.81,,,,
u-ch427-n512-start-paper-12,189,160.28,7037.8,37.24,48.73,43.06,62.34,1535.0,1017.23,981.88,,,,
