SUITE,TIME,INITIAL,TIME-INITIAL,TIME-INITIAL-TOOK1,ENSEMBLE,RESOLUTION,NODES,JOB_SUBMIT_TIME,JOB_INIT_TIME,JOB_EXIT_TIME,JOB_STATUS,JOB_ID,JOB_PID,TOOK
final-total-all-suites.csv,,,,,,,,,,,,,,
max18,,,,,,,,,,,,,,
max25,,,,,,,,,,,,,,
mean,,,,,,,,,,,,,,
ms,,,,,,,,,,,,,,
paper-pack,,,,,,,,,,,,,,
scripts,,,,,,,,,,,,,,
stdev,,,,,,,,,,,,,,
test,,,,,,,,,,,,,,
total,,,,,,,,,,,,,,
u-ch427-grenville,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-04, 171.006 ,54.88,,,4,,64,2022-06-22T16:33:09Z,2022-06-22T16:39:09Z,2022-06-22T16:43:09Z,SUCCEEDED,1895453,99988,1.167
u-ch427-n216-start-paper-x0-05, 167.412 ,54.68,,,5,,78,2022-06-22T22:33:40Z,2022-06-22T22:41:02Z,2022-06-22T22:45:12Z,SUCCEEDED,1897335,104000,1.186
u-ch427-n216-start-paper-x0-06, 172.526 ,58.23,,,6,,92,2022-06-22T22:34:18Z,2022-06-22T22:46:15Z,2022-06-22T22:50:31Z,SUCCEEDED,1897352,147762,1.206
u-ch427-n216-start-paper-x0-07, 188.908 ,71.76,,,7,,106,2022-06-22T13:35:14Z,2022-06-22T14:32:44Z,2022-06-22T14:37:21Z,SUCCEEDED,1894048,123945,1.402
u-ch427-n216-start-paper-x0-08, 198.226 ,63.08,,,8,,120,2022-06-22T23:04:58Z,2022-06-22T23:05:16Z,2022-06-22T23:10:26Z,SUCCEEDED,1897403,174133,2.304
u-ch427-n216-start-paper-x0-09,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-10,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-11,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-12,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-13,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-14,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-15,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-16,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-17,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-18,,,,,,,,,,,,,,
u-ch427-n216-start-paper-x0-19,,,,,,,,,,,,,,
